CHIC80700E;P. D. POLLIDORI;FOSSACESIA;www.icfossacesia.edu.it;
SRIC81900E;CARLO V;CARLENTINI;http://www.istitutocarlov.edu.it;
CBIS02600G;S. PERTINI - L. MONTINI - V. CUOCO;CAMPOBASSO;itaspertini.edu.it;
SRIC823006;I IC - PIRANDELLO;CARLENTINI;http://www.1comprcarlentinipirandello.edu.it;
MIIC8BF00G;RITA LEVI MONTALCINI;GORGONZOLA;http://www.icmontalcinigorgonzola.edu.it/;
CBIS002003;MARIO PAGANO;CAMPOBASSO;http://www.liceopagano.edu.it;
KRIS00400C;GIUSEPPE GANGALE;CIRÃ’ MARINA;https://www.isgangale.edu.it;
RARC07000X;I.P.S. OLIVETTI - CALLEGARI;RAVENNA;http://www.olivetticallegari.edu.it;
CZIS01800B;A. GUARASCI - ANTONINO CALABRETTA;SOVERATO;guarascicalabretta.edu.it;
CTPC605004;SAVOIA;CATANIA;http://www.istitutosavoia.it;
